	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
MULTISPECIES: 2,5-didehydrogluconate reductase B	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-Cys peroxiredoxin	0	0	0	0	0	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-alkenal reductase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 2-amino-4-deoxychorismate synthase	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	0	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
MULTISPECIES: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-amino-thiazoline-4-carboxylic acid hydrolase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0
MULTISPECIES: 2-dehydro-3-deoxy-6-phosphogalactonate aldolase	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-dehydro-3-deoxygalactonokinase	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-dehydro-3-deoxyglucarate aldolase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-dehydro-3-deoxyphosphogluconate aldolase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-dehydro-3-deoxyphosphooctonate aldolase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-dehydropantoate 2-reductase	1.00	0	0	2.00	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0
MULTISPECIES: 2-deoxy-D-gluconate 3-dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 2-deoxyribose-5-phosphate aldolase	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 2-hydroxy-3-oxopropionate reductase	0	0	0	0	0	0	1.00	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	0	1.00	1.00	0	0
MULTISPECIES: 2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: 2-hydroxy-acid oxidase	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 2-hydroxyacid dehydrogenase	0	0	0	0	0	0	1.00	0	1.00	1.00	0	1.00	1.00	0	0	3.00	0	0	0	1.00	0	0	0	0
MULTISPECIES: 2-hydroxychromene-2-carboxylate isomerase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	3.00	0	0	0	1.00	0	1.00	0	1.00	0	0
MULTISPECIES: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-hydroxymuconic semialdehyde dehydrogenase	0	0	0	0	0	1.00	3.00	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-isopropylmalate synthase	2.00	0	0	0	0	0	3.00	0	1.00	0	0	0	0	1.00	0	0	0	5.00	0	0	0	0	0	1.00
MULTISPECIES: 2-keto-4-pentenoate hydratase	0	0	0	0	0	1.00	2.00	0	0	6.00	0	0	0	1.00	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 2-methylaconitate cis-trans isomerase PrpF	0	0	0	0	0	0	0	0	0	4.00	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 2-methylcitrate dehydratase	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	2.00	2.00	0
MULTISPECIES: 2-methylcitrate synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00
MULTISPECIES: 2-nitropropane dioxygenase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 2-octaprenyl-6-methoxyphenyl hydroxylase	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0
MULTISPECIES: 2-oxo-3-hexenedioate decarboxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 2-oxo-hepta-3-ene-1,7-dioic acid hydratase	0	0	0	0	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	2.00	0	1.00	0	0	0	0
MULTISPECIES: 2-oxoacid:acceptor oxidoreductase subunit alpha	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 2-oxoglutarate dehydrogenase E1 component	0	0	0	0	0	0	4.00	0	0	0	0	0	0	2.00	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: 2-oxoglutarate dehydrogenase subunit E1	0	0	0	0	0	0	2.00	0	0	2.00	0	0	0	2.00	0	0	0	6.00	2.00	1.00	1.00	0	1.00	1.00
MULTISPECIES: 2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2-oxopent-4-enoate hydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 2-polyprenyl-6-methoxyphenol 4-hydroxylase	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 2-polyprenyl-6-methoxyphenol hydroxylase	0	0	0	0	0	0	3.00	0	0	3.00	0	0	0	1.00	0	1.00	0	3.00	0	0	0	0	0	0
MULTISPECIES: 2-pyrone-4,6-dicarboxylate hydrolase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	0	0	0	0	0	1.00	0	0	0	0	2.00	0	0	0	4.00	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: 23S rRNA (adenine(1618)-N(6))-methyltransferase	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	3.00	0	1.00	0	0	0	0
MULTISPECIES: 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	0	0	0	1.00	0	1.00	3.00	0	0	4.00	1.00	1.00	0	0	0	0	0	1.00	0	0	0	0	1.00	0
MULTISPECIES: 23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	0	0	0	0	0	1.00	4.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 23S rRNA (uracil(1939)-C(5))-methyltransferase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 23S rRNA (uridine(2552)-2'-O)-methyltransferase	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 23S rRNA pseudouridine(1911/1915/1917) synthase	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	2.00	0	0	0	0
MULTISPECIES: 23S rRNA pseudouridine(955/2504/2580) synthase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 2OG-Fe(II) oxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00
MULTISPECIES: 3'-5' exonuclease	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3'-5' exoribonuclease YhaM	0	0	2.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3,4-dihydroxy-2-butanone-4-phosphate synthase	0	0	0	0	0	0	1.00	0	0	1.00	1.00	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 3,4-dihydroxyphenylacetate 2,3-dioxygenase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-(3-hydroxy-phenyl)propionate transporter MhpT	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-carboxy-cis,cis-muconate cycloisomerase	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-carboxymuconate cyclase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-dehydroquinate dehydratase	0	0	0	0	0	0	1.00	0	0	3.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-dehydroquinate synthase	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-dehydroshikimate dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: 3-deoxy-7-phosphoheptulonate synthase	0	1.00	0	1.00	2.00	3.00	1.00	1.00	0	0	0	0	0	2.00	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: 3-deoxy-7-phosphoheptulonate synthase class II	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: 3-deoxy-8-phosphooctulonate synthase	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-deoxy-D-manno-octulosonic acid transferase	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: 3-deoxy-manno-octulosonate cytidylyltransferase	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hexulose-6-phosphate synthase	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hydroxy-2-methylbutyryl-CoA dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hydroxyacyl	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-hydroxyacyl-ACP dehydratase	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hydroxyacyl-CoA dehydrogenase	0	0	0	0	0	0	2.00	0	0	4.00	0	1.00	0	6.00	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: 3-hydroxyanthranilate 3,4-dioxygenase	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hydroxybutyrate dehydrogenase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hydroxybutyryl-CoA dehydratase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hydroxybutyryl-CoA dehydrogenase	0	0	0	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-hydroxyisobutyrate dehydrogenase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 3-hydroxyisobutyryl-CoA hydrolase	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-isopropylmalate dehydratase large subunit	0	0	0	1.00	0	2.00	2.00	0	0	1.00	0	0	0	3.00	1.00	2.00	0	5.00	0	0	0	0	0	0
MULTISPECIES: 3-isopropylmalate dehydratase small subunit	0	0	0	0	0	2.00	0	0	2.00	1.00	2.00	0	0	1.00	1.00	0	0	1.00	0	2.00	0	0	0	0
MULTISPECIES: 3-isopropylmalate dehydrogenase	1.00	0	0	1.00	0	0	1.00	0	0	1.00	0	0	0	0	0	0	1.00	2.00	0	1.00	0	0	0	0
MULTISPECIES: 3-keto-5-aminohexanoate cleavage enzyme	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-keto-5-aminohexanoate cleavage protein	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-ketoacyl-ACP reductase	0	0	1.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0
MULTISPECIES: 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase	0	2.00	0	0	0	1.00	3.00	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 3-methyladenine DNA glycosylase	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-methyladenine DNA glycosylase 2	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-methylcatechol 2,3-dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-methylcrotonyl-CoA carboxylase	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	0
MULTISPECIES: 3-octaprenyl-4-hydroxybenzoate carboxy-lyase	0	0	0	0	0	1.00	1.00	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0
MULTISPECIES: 3-oxoacyl-ACP reductase	1.00	0	0	0	0	1.00	1.00	0	0	2.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-oxoacyl-ACP reductase FabG	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-oxoacyl-ACP synthase	0	0	0	0	0	1.00	2.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-oxoacyl-ACP synthase III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 3-oxoadipate CoA-transferase	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 3-oxoadipate CoA-transferase subunit A	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-oxoadipate enol-lactonase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	2.00	1.00
MULTISPECIES: 3-oxoadipate--succinyl-CoA transferase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-oxoadipate--succinyl-CoA transferase subunit B	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 3-oxoadipyl-CoA thiolase	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 3-phosphoglycerate dehydrogenase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-phosphoserine/phosphohydroxythreonine aminotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0
MULTISPECIES: 3-phosphoshikimate 1-carboxyvinyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 3-polyprenyl-4-hydroxybenzoate decarboxylase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S1	0	1.00	0	0	0	3.00	6.00	1.00	3.00	0	3.00	1.00	1.00	4.00	0	3.00	0	2.00	0	1.00	0	0	1.00	0
MULTISPECIES: 30S ribosomal protein S10	0	0	0	1.00	0	6.00	7.00	1.00	2.00	2.00	0	0	2.00	0	2.00	1.00	0	13.00	0	0	0	0	0	1.00
MULTISPECIES: 30S ribosomal protein S11	3.00	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	5.00	0	1.00	0	0	0	0
MULTISPECIES: 30S ribosomal protein S12	2.00	0	2.00	0	0	15.00	13.00	0	7.00	0	0	0	3.00	1.00	0	2.00	0	6.00	0	2.00	11.00	0	2.00	0
MULTISPECIES: 30S ribosomal protein S12 methylthiotransferase RimO	1.00	0	0	0	0	1.00	2.00	0	1.00	0	0	2.00	1.00	1.00	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S12 methylthiotransferase accessory factor YcaO	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S13	1.00	1.00	0	0	0	4.00	2.00	1.00	3.00	2.00	0	0	0	2.00	0	0	0	8.00	0	2.00	3.00	0	1.00	0
MULTISPECIES: 30S ribosomal protein S14	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: 30S ribosomal protein S15	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	1.00	0	5.00	0	0	0	0	0	1.00
MULTISPECIES: 30S ribosomal protein S16	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S17	0	1.00	0	0	0	0	0	0	0	0	1.00	1.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S18	0	0	0	2.00	0	0	0	0	0	0	0	0	0	2.00	0	1.00	0	3.00	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S19	0	0	0	0	0	0	2.00	0	1.00	2.00	0	0	0	1.00	0	0	1.00	10.00	0	0	0	1.00	0	0
MULTISPECIES: 30S ribosomal protein S2	0	0	0	1.00	1.00	4.00	6.00	2.00	2.00	2.00	0	1.00	1.00	2.00	0	3.00	0	2.00	1.00	0	3.00	0	0	0
MULTISPECIES: 30S ribosomal protein S20	0	0	0	0	0	0	0	0	2.00	0	0	0	0	1.00	0	0	0	0	0	1.00	1.00	0	0	0
MULTISPECIES: 30S ribosomal protein S3	0	0	0	0	1.00	5.00	5.00	1.00	2.00	3.00	0	0	2.00	2.00	0	6.00	0	0	0	0	2.00	0	1.00	1.00
MULTISPECIES: 30S ribosomal protein S30P	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S4	1.00	1.00	0	2.00	0	2.00	1.00	0	0	1.00	3.00	2.00	4.00	1.00	0	3.00	0	11.00	0	0	4.00	2.00	1.00	0
MULTISPECIES: 30S ribosomal protein S5	0	0	0	0	0	2.00	3.00	0	0	0	1.00	2.00	0	0	0	1.00	0	2.00	0	1.00	0	0	0	0
MULTISPECIES: 30S ribosomal protein S6	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	2.00	0	5.00	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S6--L-glutamate ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 30S ribosomal protein S7	1.00	0	0	0	1.00	2.00	6.00	0	3.00	2.00	0	0	1.00	0	0	1.00	0	4.00	0	2.00	2.00	1.00	1.00	0
MULTISPECIES: 30S ribosomal protein S8	0	0	0	0	0	5.00	3.00	1.00	1.00	1.00	1.00	1.00	0	0	0	0	0	3.00	0	1.00	0	0	1.00	0
MULTISPECIES: 30S ribosomal protein S9	0	0	0	2.00	0	3.00	9.00	1.00	5.00	0	0	1.00	2.00	4.00	0	0	0	2.00	0	2.00	11.00	0	1.00	0
MULTISPECIES: 4,5-DOPA dioxygenase extradiol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: 4,5-dihydroxyphthalate decarboxylase	0	0	0	0	0	0	2.00	0	0	2.00	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: 4,5-dihydroxyphthalate dehydrogenase	0	0	0	0	0	0	2.00	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 4,5-dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-alpha-L-fucosyltransferase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-alpha-glucanotransferase	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 4-amino-4-deoxy-L-arabinose lipid A transferase	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0
MULTISPECIES: 4-amino-4-deoxy-L-arabinose transferase	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-amino-4-deoxychorismate lyase	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-carboxymuconolactone decarboxylase	0	0	0	0	0	0	1.00	0	1.00	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: 4-hydroxy-2-oxovalerate aldolase	0	0	0	0	0	1.00	3.00	0	0	1.00	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	0	1.00	0	1.00	0	0	1.00	0	1.00	0	0	0	0	1.00	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	1.00	0	0	0	0	0	1.00	0	2.00	0	1.00	0	0	1.00	1.00	0	2.00	1.00	0	0	0	0	0	0
MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate reductase	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0
